nid,title,,,projectshort,projectcity,projectstate,office,category,,projectowner,architect,,developer,developertitle,projecttestimonialtext,projectpersonname,projectpersontitle,projectpersoncompany,weight,descrip
220,Hollywood Station,,,This is an infill development in the vibrant Hollywood District of NE Portland.,Portland,Oregon,Portland,Mixed-Use,,Owner,Architect,,,,,,,,10,"Purchased in partnership with other investors and developers, Hollywood Station is a three-story, 72,000 sf mixed-use building located alongside I-84, three miles east of downtown Portland. Developed in 2006, Hollywood Station is an excellent example of Portland's emphasis on mixed-use and transit-oriented development.
This is an infill development in the vibrant Hollywood District of NE Portland. The property includes a 227 car parking garage and a parcel of land available for future development. The anchor tenant is 24 Hour Fitness who is joined in the building by office tenants, a dentist and restaurants. Neighbors include Trader Joes, Whole Foods, Providence Medical Center and one of Tri-Met's busiest bus/light rail transit stops."
221,Madrona Heights Condominiums,,,A large remediation complicated by difficult access issue.,Oak Harbor,Washington,Seattle,Repair and Restoration,,Madrona Heights HOA,Soltner Group Architects,,,,,,,,10,"The Madrona Heights Condominiums primary challenge revolved around location, location, location. Because the complex lies on an island, access to the project for manpower and materials was limited to ferry or plane transportation. This means the normal process of coordinating the construction schedule was complicated by additional amounts of pre-planning to ensure timely delivery of materials and personnel. In the end, the scope of work for this two-story 13-building repair included widespread structural upgrades to the garage and entry way columns, new paint, elastomeric deck coating and miscellaneous interior repairs."
222,Harbour House,,,Curved turrets made window replacement on the 'Juliet' balconies a special challenge.,Seattle,Washington,Seattle,Repair and Restoration,,Harbour House at Leschi HOA,Olympic Associates,,CDC Management,Owner's Rep.,,,,,10,"The exterior repair of this two-building condominium complex located in Seattle's Leschi neighborhood on Lake Washington was quite challenging. The high volume of stucco removal required both buildings to be fully scaffolded and contained for the majority of the project -  in addition to replacing all the stucco, an extensive deck renovation was conducted as we resloped all the decks, applied 2,000 sf of new deck coatings and tile and replaced 400 lf of metal balcony railings. Additionally, most of the windows and exterior doors on the complex were replaced - in some cases requiring the incorporation of specially ordered radius galvanized window pans to properly flash new windows at radius turrets."
223,Ballard Condominiums,,,Another building remediation completed while the occupants remained in their homes.,Seattle,Washington,Seattle,Repair and Restoration,,Ballard Condominium HOA,"J2 Building Consultant, Inc.",,,,,,,,2,"At seven stories in height, the 164-unit Ballard Condominiums tower over the city. With only nine months to remove and replace more than 54,000 sf of new Hardi siding, 478 windows and 112 doors plus installation of all new flashings, roof and brick copings and deck coatings throughout, this job was a masterwork of quality control and organization. The project was broken down into three phases and at one point the entire building was under full containment and scaffold. A majority of the work was self-performed by our highly skilled personnel and careful coordination with the homeowners was necessary to ensure all the interior repairs were completed in a timely and satisfactory manner."
224,Lakeside West,,,The design process combined the Owner's proposal and RemcoDeacon's construction expertise.,Seattle,Washington,Seattle,Repair and Restoration,,Lakeside West HOA,Graham Baba Architects,,,,,,,,10,"Setting up seven floors of scaffolding is a snap, unless the building juts out over the water. The scope of this project consisted of a railing system remodel, partition repair and exterior paint for the entire building - half of which is balanced on pilings above the surface of Lake Washington.  In order to access the western elevation of the building, we extended heavy beams from the lower level parking area and used them to create a base for scaffolding. Even so, some of the work had to be conducted from the deck of a barge floating on the lake. The design-built rail system required care to choose materials that would hold up to waterfront exposure and successfully attach to the existing posts."
225,Riverfront Landing,,,Extreme water damage began at the roof a continued down through the entire complex.,Bothell,Washington,Seattle,Repair and Restoration,,Riverfront Landing B&C Condo HOA,"J2 Building Consultants, Inc.",,,,,,,,10,"Riverfront Landing is a 45-unit, three-building waterfront complex situated along the Sammamish slough in Bothell. There was an extensive amount of water damage to the roof and the repairs were labor intensive. The scope of work included a siding re-clad, roofing, replacing the waterproof membranes at the decks and building penetrations and a wide assortment of structural, interior and courtyard repairs. Even through the uncharacteristic winter snow and rain, the project was kept on schedule by acquiring the extra manpower necessary and keeping thorough documentation."
226,Medical Office Building ll,,,"A 31,000 sf concrete tilt-up medical building shell with adjacent sitework.",Tracy,California,Sacramento,Medical and Healthcare,,"Triad Tracy II, LP",Ware Malcomb Architects,,,,,,,,5,"Extensive value engineering was provided prior to subcontractor buyout and construction of this 31,000 sf two-story concrete tilt-up medical building. The shell is planned to be half of a mirrored image of medical buildings on the site. The structural systems include concrete and steel roof and floor systems and some unique exterior detailing, unusual for a tilt-up building."
227,REI,,,Multiple renovation and tenant improvement projects totaling nearly $5 million.,Multiple Locations,,Multiple Locations,Retail,,"Recreational Equipment, Inc.",MulvannyG2 Architecture,,,,,,,,8,"We are pleased to have completed multiple projects for REI including new construction, remodel and tenant improvements. The work took place in three states, totaling nearly $5 million in construction value and involving over 185,000 sf of space. In each project, we installed steel stairs and guardrails and specialized finishes and modified storefronts. In Sacramento, we replaced all of the single-lamp light fixtures with eight-lamp fixtures, managed by a sophisticated control system that adjusts the light level based on the amount of natural lighting coming from the 20 new skylights. All of the remodel work took place while the stores remained open for business, either at night or during the day, but with no customer inconvenience allowed."
228,Palmdale Gateway,,,"We completed ground-up construction and tenant improvements for this 170,000 sf retail center.",Palmdale,California,Irvine,Retail,,Hopkins Real Estate Group,KKE Architects,,,,,,,,6,"Construction of this 170,000 sf shopping center on a 55-acre site included an eight-acre detention basin, 1,300 lf of 10 foot retaining walls and relocation of a cell phone tower. We used a temporary onsite nursery for storage of more than 100 Joshua trees, which were replanted throughout the site to conform to the new landscape design. The surrounding city streets and State Highway 138 were upgraded and widened to improve traffic flow. Our work included the building shells for the major tenants - Ross Dress for Less, Staples, PetSmart and Famous Footwear - all of which were designed and constructed to withstand desert winds of over 100 miles per hour."
229,St. Cecilia Parish School,,,"This remodel added an extra 12,000 sf to an active community parish school and church.",Beaverton,Oregon,Portland,Education and Libraries,,St. Cecilia Church,"Soderstrom Architects, PC",,,,,,,,4,"This addition and remodel added an extra 12,000 sf to this active 29,500 sf community parish school and church. We converted the existing gymnasium into classrooms and a cafeteria, connected outlying classrooms to the original building footprint, expanded the kindergarten space and brought the existing restrooms into code compliance. We also added a new two-story parish activity center including a gymnasium, platform and various accessory spaces. Sitework included water line improvements to the lot, a storm water pond, reconfiguration of the parking area and a new entrance onto SW 8th St."
230,United Methodist Church,,,Additions and updates to a community church.,Elk Grove,California,Sacramento,Religious Facilities,,Elk Grove United Methodist Church,Stafford King Wiese Architects,,,,,,,,6,"Everything new becomes old again. Built in the 1920s, this church was used as a movie theater for a few years and has now been restored to its original purpose. Located in historic Old Elk Grove, we skillfully blended a 525 sf addition into the side of this 20,000 sf wood-framed structure, and updated the existing structure with a three-story elevator, two bathrooms, a new entry and ADA and safety upgrades. Special care was taken to locate matching tiles and other finishes to restore the church to the way it would have appeared without its tenure in show business."
231,Irvington Place Condominiums,,,Water damage required extensive repairs to this mixed residential and commercial complex.,Portland,Oregon,Portland,Repair and Restoration,,,William Wilson Architects P.C.,,John Matteson,Owner's Rep.,,,,,6,"Unpredicted water intrusion damage made this remediation project a true work in progress when our repair and restoration team, Remco Deacon, found they would be making structural repairs to over 40% of the building, beyond the building envelope replacement originally planned. We added new stucco and thin brick to seven two-story townhouses, built above a parking garage and reclad the four floors of wood-frame condominiums. We also, as well as rebuilding all 50 condominiums' failed decks, and the concrete structured retail on the ground floor. The additional structural repairs added over six months to the schedule, but careful scheduling and team coordination cut that time in half."
232,Hotel Sierra,,,"Ground-up construction of a 116,000 sf, 164 room hotel.",San Jose,California,Sacramento,Hospitality,,"Lodgeworks, L.P.",DLR Group,,,,,,,,1,"The 164 room seven-story hotel is constructed of cast-in-place concrete with a metal stud/plaster facade supported by over 463 concrete piles. This challenging project required multiple teams, and the small lot left little room for parking or storage, so delivery of everything - equipment, materials and manpower - had to be staged at offsite locations. Unusually wet weather resulted in delays, economic difficulties forced the replacement of several of our subs and electrical limitations required use of additional generators to power the heavier equipment.  Nonetheless, the project was completed on time and the owner has been delighted with our timing and workmanship."
233,Larkspur Landing Hotel,,,This stucco clad hotel built in 1999 needed repair due to extensive water intrusion.,San Francisco,California,Sacramento,Repair and Restoration,,Starwood Capital Group,"Weir/Andrewson Associates, Inc.",,,,,,,,9,"Our Repair & Restoration teams worked around the clock to finish a complete envelope repair on this four-story wood-frame hotel. A major requirement of the project was that there be no alterations to the use, size or appearance of this 66,839 sf hotel, so all materials used in the renovation had to match the existing building. After repairing the water-damaged Sheetrock around the windows openings, we restored and re-used the existing windows at a significant saving to the owner, as well as removing the entire stucco cladding, replacing the traffic coatings on the balconies and repairing sections of the built-up lower roofs and concrete tile upper roofs."
234,Mountain View Sports Bar at Spirit Mountain Casino,,,Careful planning brought this renovation project in well ahead of schedule.,Grand Ronde,Oregon,Portland,Food Service,,"Spirit Mountain Gaming, Inc.",Group Mackenzie,,,,"S.D. Deacon has been extremely helpful, cooperative and professional. I appreciate their genuine and sincere support of our tribal hiring preferences and their commitment to diversity in the workforce.",Randy Dugger,COO,"Spirit Mountain Gaming, Inc.",8,"Working nights in this beautiful 24-hour casino, our team cut two weeks off the schedule as we transformed a buffet dining area into a fully modern 9,000 sf sports bar, complete with 17 television monitors, intricate stonework, stained concrete slab floors, specialty accent lighting and other high end decorative finishes. Additional details included a new performance stage with a sophisticated sound system and theatrical light, but the project showpiece is the radius dome with a computer controlled LED light system that can emulate the sky, a Pacific NW sunset or display holiday or team colors for specific events."
235,Nel Centro at Hotel Modera,,,Successful on the hotel project led the owners to negotiate the restaurant work as well.,Portland,Oregon,Portland,Food Service,,Posh Ventures LLC,"Holst Architecture, P.C.",,,,S.D. Deacon was professional from start to finish. Our project came in on time and on budget. I am delighted with their work at Nel Centro.,David Machado,Chef/Owner,David Machado Restaurants,5,"The owners of Hotel Modera were so pleased by our renovation of the Hotel, they brought us back to complete the 6,500 sf Nel Centro restaurant as well, including updating the kitchen, main and private dining rooms seating up to 145, a 34-seat  bar, outdoor courtyard to serve 50 additional diners, storage and office space, and a lobby extension. The solid Mirage Walnut wood entrance walk way, elegant Calacatta Marble flooring and hand-blown glass light fixtures extend the Hotel's elegance into the restaurant, which also features custom wood cabinetry, an Eco-Top bar, leather upholstered seating and wall finishes and a custom ACT and wood paneled ceiling."
236,Strawberry Village Center,,,Renovation and update of a busy eight-acre shopping center.,Mill Valley,California,Sacramento,Mixed-Use,,LaSalle Investment Management,Field Paoli Architects,,"Strawberry Village Retail, LLC",Owner's Rep.,,,,,10,"Maintaining the Spanish styling cues was a priority as we renovated this vintage 1960's shopping center while the 100+ shops remained open for business. Our team completely updated the infrastructure of the eight-acre site, including landscaping and the addition of 724 new parking spaces. Each of the four new buildings incorporates a unique feature such as a turret or tower as well as multi-colored stucco and wooden shutters trim. One included five low-income apartments above the retail space to allow center employees to live where they work. The most striking aspect is the 70' working sundial comprised of different colored concrete and granite with a raised gnomon in the center of the road."
237,William M. Factory Small Business Incubator  Ph. II,,,"Exterior wall elements combine CMU, concrete and metal siding for a striking block effect.",Tacoma,Washington,Seattle,Office,,William M. Factory,Heery International,,,,,,,,10,"This project, funded through a combination of public and private sources, was the second phase of construction for the SBI -  it connects to the initial building through a series of corridors and bridges. Three levels of office space lie above a 30-space parking garage on the building's ground floor. The second floor was built using post-tensioned slabs and the two top floors are 3/4"" T&G plywood with a 1 1/5"" concrete topping slab. A skylight provides natural lighting to all the office levels below and a glassed-in terrace on the top floor provides a common area for meetings and celebrations-and a panoramic view of the city of Tacoma."
238,Sierra Pacific Properties Headquarters,,,to come,Concord,California,Sacramento,Office,,"Sierra Pacific Properties, Inc.","Loving & Campos Architects, Inc.",,,,,,,,10,to come
239,Streets of Brentwood,,,Elaborate finishes embellish the fountain courtyard of this shopping center.,Brentwood,California,Sacramento,Retail,,Brentwood Specialty Centers,O'Brien & Associates,,Continental Real Estate,Owner's Rep.,,,,,10,"Designed as a gathering place, this project began with the construction of seven steel buildings totaling 193,145 sf surrounding a center court and fountain. A wide variety of elaborate and detailed storefront finishes featuring cast stone bases, EIFS accents, fiberglass columns with painted stucco finishes, decorative wood trims and decorative exterior lighting provide points of interest. Individual storefronts are further accentuated and capped off through the application of a variety of roofing systems including domes and cupolas covered with standing seam metal, clay tile, concrete tile and wrought iron railings."
240,Target,,,We have completed nearly 200 projects totaling $332 million for Target.,Multiple Locations,,Multiple Locations,Retail,,Target Corporation,MBH Architects,,MulvannyG2 Architecture,Architect,,,,,10,"S.D. Deacon has built a long-term relationship as a preferred vendor for international retailer Target, completing nearly 200 projects all along the west coast totaling more than $332 million.  From new ground-up store construction through remodels and rightsizing projects, our dedication to providing a quality product for this very particular client has resulted in a 20 year relationship. Most recently, we've implemented a technically challenging series of design and functional changes requiring overlapping day and night crews to implement the P-Fresh concept for expanded grocery selection as well as department reorganization and storewide and finish upgrades."
241,10th Place at Bellevue Condominiums,,,This fast paced project required the replacement of hundreds of windows and sliding doors in four buildings.,Bellevue,Washington,Seattle,Repair and Restoration,,10th Place HOA,"J2 Building Consultants, Inc.",,,,,,,,10,"This condominium complex required the replacement of 238 windows and 72 sliding glass doors, as well as rot repair work. Working on four buildings, our team removed and disposed of existing windows and doors before waterproofing all openings to ensure lasting results. We installed state and federal rebate compliant vinyl double pained windows and sliding glass doors in 72 units. After discovering a large area of wood rot and fungal growth, we removed and replaced rotted gypsum, wood sheathing and framing members. Additionally, we added new vents and hoods as well as new water vapor barriers. Adhering to industry standard, we reattached the existing vinyl siding ensuring it looked as if it was never been removed. This was fast paced project but we finished ahead of schedule and within budget."
242,Mill Street Condominiums,,,Unexpected challenges were quickly resolved while working on this mixed-use building.,Seattle,Washington,Seattle,Repair and Restoration,,Mill Street HOA,Soltner Group Architects Inc.,,,,,,,,10,"This mixed-use building includes commercial businesses, a ground level parking garage and 23 condominium units on three floors. After we were awarded this project, we performed value engineering to provide the owner additional savings. We installed new waterproof deck coatings and aluminum railings, including new blocking for the railing wall attachments. Proper flashing around the windows and doors was installed and 80% of the fiber cement siding was replaced. While our team was working on the topping slab on the courtyard deck, they discovered it was crumbling and had to be removed. Our team quickly adapted to this unexpected challenge and temporarily tented the courtyard, installed Super-Krete to ensure proper drainage and finished with pedestrian traffic coatings from Pacific Polymers."
243,Adelaide Condominiums,,,"15,000 sf of roof remediation on a six-story mixed-use building with 72 units.",Seattle,Washington,Seattle,Repair and Restoration,,Adelaide Condominium HOA,Cross 2 Design Group,,,,,,,,9,"This six-story mixed-use building has 72 condominium units above commercial space on the ground level. The scope of work included replacing 15,000 sf of roofing, repairing the deck soffits and constructing a new Timbertech rooftop deck. Roofing was the most difficult portion of work since repairs began during the winter which required flawless weather protection. For proper drainage, it was necessary to reslope the roof, increase the size of the parapet and install new coping sheet metal."
244,Westmont Condominiums,,,"A six-story, 20 unit complex above the West Seattle Golf Course required repairs and waterproofing.",Seattle,Washington,Seattle,Repair and Restoration,,Westmont Condominiums HOA,Pacific Engineering Technologies,,,,,,,,9,"This six-story, 20 unit condominium complex above the West Seattle Golf Course was in need of lobby remodeling and plumbing repairs. Our team also worked on roofing, siding and deck coating. The parking garage was waterproofed to prevent future damage. The owner's request for a newly installed awning to match the existing fabric awning, but using metal instead, was an interesting aspect of this project. We successfully honored this request by thorough coordination and communication with an awning subcontractor. This project was originally scheduled for five months, but our team completed all work a month ahead of time."
245,Emerald Place Condominiums,,,A structural shear wall and roof repairs for this occupied three-story residential building.,Edmonds,Washington,Seattle,Repair and Restoration,,Emerald Place Condominiums HOA,"JRP Engineering, Inc.",,,,,,,,10,"Aware that the three-story residential building was occupied during all stages of work, our team placed special emphasis on keeping disruptions to the residents to a minimum. Doubling as a dust enclosure, a tented scaffolding system to provide weather protection was used to repair the exterior wall. We assisted homeowners with the removal, storage and protection of personal belongings within units and exterior decks. In addition to the structural and roof work, we carried out the removal and replacement of stucco cladding, water resistant boards and fiber-cement siding. We removed and replaced vinyl windows and window trim. The existing deck membrane was waterproofed with a new coat of deck membrane. To intercept the flow of water and prevent it from entering the building, we installed metal copings and membrane flashings. The project came to a successful completion with the removal and replacement of concrete topping slabs on patios."
246,Barclay Court,,,Water damage repairs to this 23-unit condominium complex located in a busy urban neighborhood.,Seattle,Washington,Seattle,Repair and Restoration,,Barclay Court Owner's Association,SGA Architecture,,,,,,,,9,"Due to water intrusion issues, this three-story 23-unit condominium, with retail tenants on the ground floor, required the replacement of all doors and windows. Our team also removed and reinstalled the associated metal siding and brick veneer. Power lines close to the building were a safety concern, but by working with both the Light and Parks Department of the City of Seattle, those issues were quickly resolved. Despite time constraints arising from working in a busy urban neighborhood, we completed all work well within the schedule."
247,Parking Garage Expansion at Alderwood Mall,,,"Adding a 92,600 sf level to an existing three-story structure.",Lynnwood,Washington,Seattle,Parking,,,,,,,,,,,10,"Adding a 92,600 sf level to an existing three-story structure located in the middle of a busy mall required exact planning. Floor framing is PT concrete beams with PT concrete floor slab and concrete columns. This is combined with shear walls and moment frames, cast-in-place spread footings and continuous footings and cast-in-place grade beams. MEP work included extending fire suppression system, plumbing/drainage system, relocating electrical room and new elevator. Striping for 900 existing and 299 new spaces completed the project."
248,South Hill Mall,,,"Renovation of a 120,000 sf mall that remained operational during construction.",Puyallup,Washington,Portland,Retail,,Cafaro Company,Cafaro Company,,,,,,,,10,"Our team started renovations on this 120,000 sf mall with the goal to increase the level of service and comfort for the customers. We re-designed the exterior and added or updated the interior skylights, food court, centrally located fireplace and colored concrete plazas. We incorporated an innovative lighting plan to highlight each tenant as well as the plush public areas. Lights were also installed to brighten the parking areas. The project was finished with new storefronts, entryway arches, canopies and tile work throughout the mall. During the course of eight months, we took great care to limit dust, debris and obstructions while the mall stayed open for business."
249,Franklin Street Apartments,,,"Extensive water damage repairs to this three-story, 225-unit apartment complex.",Redwood City,California,Sacramento,Repair and Restoration,,Irvine Apartment Communities,Lombard Consulting,,,,,,,,3,"This three-story, 225-unit apartment complex was damaged by water infiltration, which resulted in widespread damage to framing, sheathing and structural components. To allow for proper drainage, concrete deck topping and sheathing was removed and reinstalled along with modifications to the slope of decks and walkways. All new courtyard and deck membranes were flood tested prior to pouring new topping slabs. New area drains, scuppers and edge draining was installed. Water damaged framing members were replaced. Apartment doors and frames were removed to install new sheathing, waterproofing membrane and metal flashings, requiring close coordination with the property manager and tenants. Repairs were completed to match the adjacent finish, color and texture. All work took place while the building was occupied with minimal disruption to the tenants."
250,Pioneer Towers,,,"Interior and exterior renovations to an occupied 12-story, 198 units senior housing building.",Sacramento,California,Sacramento,Repair and Restoration,,Anders Plett,"Stantec Architecture, Inc.",,,,,,,,7,"Renovation of this 12-story, 198 unit senior housing project was completed in multiple phases while remaining fully occupied. Tenants were relocated one floor at a time so that units could be renovated with new plumbing fixtures, tile, paint and carpet. Common areas and corridors were also upgraded with new finishes. The exterior renovations included new windows and sliding glass doors, and concrete flatwork with parking upgrades to accommodate ADA compliance. Upgraded building systems included a new hydronic mechanical system with boiler, electrical and lighting systems, and fire alarm system. Tight clearances in plumbing chases, and the ever-present safety concerns related to elderly residents were some of the challenges that required constant diligence."
251,Bridgecourt Apartments,,,Repair and remediation work successfully completed in two phases for this apartment complex.,Emeryville,California,Sacramento,Repair and Restoration,,ProLogis,Possard Broek Architects,,,,,,,,1,"Phase 1 of this project consisted of the stripping and re-cladding of two vacant apartment unit stacks with a stucco rain screen system, while the rest of the apartment complex was fully occupied. After successfully completing this phase, which was awarded through a competitive bid process, the owner negotiated the award of Phase 2 with us.
This phase involved seven separate apartment unit stacks and included complete stucco demolition, extensive framing repairs, installation of new windows and doors, zinc flashing throughout, grace liquid applied waterproofing and rain-screen drainage system topped with a three-coat stucco system. The interiors of all units were remediated utilizing negative air pressure containments and HEPA filtration."
252,The Resort at Seaside,,,Exterior repairs and installation of new windows and doors on an eight-story building and parking structure.,Seaside,Oregon,Portland,Repair and Restoration,,Resort at Seaside Condo. Assoc.,Raymond J. Bartel,,Wyndham Vacation Ownership,Owner's Rep.,,,,,4,"This eight-story condominium building and its parking structure required the removal of existing exterior insulating finish system (EIFS), removal and replacement of all exterior vinyl windows and doors, repair of damaged balconies, and various interior repairs."
253,42nd and Oregon,,,"Project with two live-work units, 2,875 sf of commercial space, 131 apartments and 136 parking stalls.",Seattle,Washington,Seattle,Mixed-Use,,West Seattle Apartment Investors,Johnson Braund Inc.,,,,"I want to express our sincere appreciation for all of your efforts throughout the project, but especially in recent weeks battling challenging weather to get a critical pour done.",Mike Mahoney,"Vice President, Development",ConAm Investment Group,10,"This project included demolition of three existing single family homes, mass excavation for two levels of underground parking garage, two stories of retail/commercial space, and five stories of apartments. The parking garage and retail/commercial levels are all structural concrete with a post-tensioned concrete transfer deck, above which are five floors of wood framing. There are 136 parking stalls, two live-work units, 2,875 sf of retail/commercial space and 131 apartment units. The ground level features a fitness center, community club room and kitchen, as well as a courtyard with a green roof over the parking garage, deck and patio.  Additionally, over the seventh floor there will be a roof terrace/green roof with decking, patios, barbecues, fire pits, picnic areas and an amazing panoramic view."
254,VA Puget Sound Health Care System MRI Upgrade,,,S.D. Deacon provided project management for removal and installation of the new MRI.,Seattle,Washington,Seattle,Federal,,Colamette Construction,,,,,,,,,10,We were the subcontractor responsible for providing project management for removal of the old and installation of the new MRI. The scope included design-build of the partial demolition and the necessary building modifications covering both highly technical tasks such as the rework of the copper-lined radiation shielding and more conventional construction such as re-roofing the entire building.
255,Fort Simcoe Food Service and Dining Hall Renovation,,,"S.D. Deacon acted as a subcontractor to complete a renovation for a new 11,740 sf kitchen and dining hall.",White Swan,Washington,Seattle,Federal,,Mountain Movers,Beaman Architecture,,,,,,,,10,"As the major subcontractor for Mountain Movers Construction, S.D. Deacon's crew worked through the winter at this historic and remote site in the Cascade Mountains.
The project began with a complete interior demolition to the 11,740 sf kitchen and dining hall followed by upgrades to all supporting systems and then the installation of a state of the art commercial kitchen. This required a high level of integration between the multiple MEP contractors who were coming in from several different areas in the region. In addition, two dormitories were demolished with full asbestos abatement measures. 
In order to maintain full meal service during construction, we supervised the set up of a temporary kitchen and kept all areas open and clear for safe accessibility. Despite being snowed in for a week, the project was turned over to the owner four months ahead of schedule."
256,Aloft,,,Working on this less-than one-acre site required that all materials were delivered on daily.,Cupertino,California,Sacramento,Hospitality,,"Infinite Loop Hotel, LLC",RYS Architects,,,,,,,,10,"This four-story, 123 room wood-framed hotel was constructed on top of a post-tension podium deck with a one-level subterranean parking garage. The compact less-than one acre site required that all materials for this 69,630 sf hotel be delivered on a daily basis. Amenities include a full-service kitchen and dining area, banquet room, meeting rooms, restaurant and bar, pool and fitness center. This project will be LEED Silver Certified."
257,Mercedes Benz of Fairfield,,,"Tilt-up concrete, structural steel and extensive interior features for this luxury car dealership.",Fairfield,California,Sacramento,Auto Dealerships,,"Price-Simms, Inc.",Marcatects,,,,,,,,10,"The main scope of this new 40,800 sf dealership is a two-story building constructed with tilt-up concrete panels and a structural steel roof. CMU is also used throughout the facade.The entrance to the 30-car showroom incorporates a 35-foot high radiused storefront curtain wall. Other features include a 26-bay vehicle service department, and both automatic and manual car wash areas. A retail department displays all types of products from apparel to parts. The owner will be submitting this project for LEED Certification."
258,7th and H Street,,,"This eight-story building consists of 150 units of transitional housing, a medical clinic and retail.",Sacramento,California,Sacramento,Mixed-Use,,Mercy Housing,Mogavero Notestine,,,,,,,,10,"This mixed-use building consists of 150 units of transitional housing, a medical clinic and retail. The construction is eight stories of elevated concrete deck on a 20,000 sf footprint in downtown Sacramento. Exterior elevations will consist of eight-stories of a full brick veneer, aluminum panels and has photovoltaic panels on the roof. We worked as a team with the architect, owner and consultants for almost a year to maintain cost control through design."
259,Villa Granada,,,This four-story building with 270 apartment units achieved LEED Gold Certification.,Santa Clara,California,Sacramento,Multi-Family Housing,,BRE Properties,BDE Architecture,,,,"The quality of the units has been outstanding. This sure makes life easier for my sales team when we open! The job site itself is the cleanest I have ""ever"" been on. The respect and pride by all of the crew there is apparent.",Lynda S. Peyton,Regional Manager,"BRE Properties, Inc.",10,"This project consisted of 270 market rate units with top of the line fitness area, prominent community rooms and leasing area on the Lawrence Expressway. Construction consisted of four-stories of wood framing over two stories of below grade parking structure. Villa Granada achieved LEED Gold Certification with 44 points. This project was completed under budget and ahead of schedule and was acknowledged as the best quality workmanship BRE has ever received."
260,St. Pius X Catholic Church,,,A new concrete tilt-up panel gymnasium for this church.,Portland,Oregon,Portland,Religious Facilities,,Saint Pius X Catholic Church,Soderstrom Architects,,,,I want to express how great it has been to work with S.D. Deacon on the St. Pius X Gymnasium addition. This was a fast track project built adjacent to and inside an occupied school. You made it look easy.,"E. Henry Fitzgibbon, AIA",Partner,Soderstrom Architects,10,"This project consisted of the construction of a new 18,152 sf concrete tilt-up panel gymnasium, alteration of the existing gym into an 8,475 sf cafeteria and a cafeteria/kitchen into 4,307 sf classroom and storage space. We also completed all related sitework."
261,Jimmy John's,,,"From overnight installations to full build-outs, our team worked at multiple locations.",Multiple Locations,Washington,Seattle,Food Service,,"Sandwich SC, LLC",Chipman Adams Architects,,,,"The manner in which the projects were managed was outstanding. S.D. Deacon completed the jobs on schedule and most important for us, we arrived to clean shops each morning.",Andrew Sharpe,Managing Partner,"Sandwich SC, LLC",10,"From an overnight installation of new Point of Sale (POS) equipment to a full 1,600 sf build-out, S.D. Deacon has been the contractor on the spot for this aggressive new chain of gourmet sandwich stores. Fulfilling our client's goal of high quality in every aspect of their business has become our goal as we continue to work with them at their northwest locations. Installation of the complicated mechanical, electrical, HVAC and plumbing build-outs as well as the decorative finishes while under strong deadline pressure make these projects both challenging and satisfying."
262,Lake Road Medical Center,,,S.D. Deacon converted an office building into medical facilities for multiple tenants.,Milwaukie,Oregon,Portland,Medical and Healthcare,,"Lake Road Medical Center, LLC","Soderstrom Architects, P.C.",,,,,,,,10,"This 17,000 sf, tenant improvement project converted an existing office building into a medical center with multiple reception areas, medical offices and examination rooms. Also included was an 8,000 sf entry addition with an elevator.
Built out in phases, the first phase constructed the new entry and associated sitework along with full build-out of the 9,000 sf second floor. The second phase encompassed the construction of the 8,000 sf first floor.
Also completed was construction of 2,300 sf of MRI and CT space. Extensive coordination was required between building systems and medical equipment."
263,Centralia Cancer Center,,,"Construction of a 17,000 sf cancer center  to provide chemotherapy treatment to a rural community.",Centralia,Washington,Seattle,Medical and Healthcare,,RadiantCare & Providence Regional,Jon R. Jurgens & Associates,,Pfaff Architects,Architect,,,,,10,"This 17,000 sf center was built to provide local radiation and chemotherapy treatment to its rural community. The linear accelerator vault is shielded with 670 cubic yards of concrete and the CT simulator room is lead lined. In addition there are 16 chemotherapy kiosks in the wood-framed, two-story building. The four-acre site has 160 parking spaces and required extensive wetlands mitigation before the final landscaping.
Features of the project include: four private infusion suites with four IV infusion chairs in each suite, a separate room for infusion pateints requiring privacy or isolation, a dedicated injection area, integrative care room with massage and acupuncture services, central nutrition area to provide patients with nourishment before, during and after treatment, advanced radiation therapy technologies, varian linear accelerator with on-board imaging, intensity modulated radiation therapy (IMRT)."
264,RadiantCare Radiation Center,,,A cancer center built with three- to five-foot thick concrete walls to safely support a linear accelerator.,Aberdeen,Washington,Seattle,Medical and Healthcare,,Gray&rsquo - s Harbor Properties LLC,Jon R. Jurgens & Associates,,,,I really appreciate the S.D. Deacon team and the company's philosophy. I think they are giving us the absolute best product and they take a lot of pride in making us happy. They are true professionals and I am privileged to work with them.,Lani Fullerton,Practice Administrator,RadiantCare Radiation Center,10,"This 5,000 sf medical center included the installation of a linear accelerator, which required the surrounding walls to be constructed of three to five foot thick concrete walls.
The remainder of the wood framed building is comprised of multiple exam rooms and nurse stations, which support the linear accelerator treatment area."
